"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 14 00:14:19 GMT 2024","Sun Apr 14 00:14:19 GMT 2024","448","chromium","todo.spec.ts","Todo page","","","should complete all checkbox update state when items are completed / cleared",""
"passed","Sun Apr 14 00:14:18 GMT 2024","Sun Apr 14 00:14:18 GMT 2024","282","chromium","todo.spec.ts","Todo page","","","should clear text input field when an item is added",""
"passed","Sun Apr 14 00:14:20 GMT 2024","Sun Apr 14 00:14:20 GMT 2024","430","chromium","todo.spec.ts","Todo page","","","should allow me to un-mark items as complete",""
"passed","Sun Apr 14 00:14:19 GMT 2024","Sun Apr 14 00:14:20 GMT 2024","433","chromium","todo.spec.ts","Todo page","","","should allow me to mark items as complete",""
"passed","Sun Apr 14 00:14:32 GMT 2024","Sun Apr 14 00:14:32 GMT 2024","539","firefox","todo.spec.ts","Todo page","","","should trim entered text",""
"passed","Sun Apr 14 00:14:21 GMT 2024","Sun Apr 14 00:14:21 GMT 2024","385","chromium","todo.spec.ts","Todo page","","","should hide other controls when editing todo",""
"passed","Sun Apr 14 00:14:19 GMT 2024","Sun Apr 14 00:14:19 GMT 2024","383","chromium","todo.spec.ts","Todo page","","","should allow me to clear the complete state of all items",""
"passed","Sun Apr 14 00:14:23 GMT 2024","Sun Apr 14 00:14:25 GMT 2024","1486","firefox","example.spec.ts","","","","has title",""
"passed","Sun Apr 14 00:14:32 GMT 2024","Sun Apr 14 00:14:33 GMT 2024","526","firefox","todo.spec.ts","Todo page","","","should remove the item if an empty text string was entered",""
"passed","Sun Apr 14 00:14:21 GMT 2024","Sun Apr 14 00:14:22 GMT 2024","715","chromium","todo.spec.ts","Todo page","","","should save edits on blur",""
"passed","Sun Apr 14 00:14:25 GMT 2024","Sun Apr 14 00:14:26 GMT 2024","774","firefox","example.spec.ts","","","","get started link",""
"passed","Sun Apr 14 00:14:16 GMT 2024","Sun Apr 14 00:14:17 GMT 2024","626","chromium","example.spec.ts","","","","has title",""
